- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 533
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-12T01:34:05.211514+00:00
Finished (UTC): 2026-07-12T01:34:23.912122+00:00
Duration Seconds: 18.7006
Generated At (UTC): 2026-07-12T01:34:23.912257+00:00

SUMMARY COUNTS
- dropped: 14
- mapped: 5
- merged: 1
- skipped: 167

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 1
- enrich|mapped|enriched: 1
- row_filter|skipped|already_added: 147
- row_filter|skipped|past_release_date: 20
- tmdb_choice|mapped|title_first_match: 2
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 1
- [skipped] row_filter | title=minions monsters | key=030862ba-46bd-4f78-bd2a-846750e9edc4 | reason=already_added | tmdb= x3
- [skipped] row_filter | title=minions monsters english | key=4a713281-1a3a-463e-9978-2fdfabf11341 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=moana | key=78edb321-ced0-4ba8-b4bc-c82966e56455 | reason=already_added | tmdb=
- [skipped] row_filter | title=moana live action | key=7e582958-f8b3-4f08-824d-4ecf7c2fc3e1 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=moana live action vos seances en francais du film | key=5d377ffc-ccc3-4bf1-a24d-4e5d1e5a08fc | reason=past_release_date | tmdb=
- [skipped] row_filter | title=motor city | key=b979e394-55c6-4e85-a1ef-de98fa412ccc | reason=already_added | tmdb=
- [skipped] row_filter | title=movieretro | key=2223e8d1-b4b7-4a62-a2c3-e39038e1ba7d | reason=past_release_date | tmdb= x2
- [dropped] tmdb_search | title=movieretro | key=373d9cae-bfa4-46eb-907b-e1f6bb7dd1b0 | reason=no_candidates | tmdb= x3
- [skipped] row_filter | title=muzzle city of wolves | key=e4551867-f412-471b-8cb3-d370155d988c | reason=already_added | tmdb=
- [skipped] row_filter | title=one night only | key=5319585d-d3ca-4b10-b73d-e55649f16c95 | reason=already_added | tmdb=
- [skipped] row_filter | title=paw patrol the dino movie | key=47f44038-0348-4a33-82a4-b6b254eaac5e | reason=already_added | tmdb=
- [skipped] row_filter | title=planet eng cro | key=008084b9-4e09-4d34-b1d8-3a0cb83abb13 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=planet final | key=62ead1b3-889a-43f2-b53d-cd340fa55f7c | reason=already_added | tmdb=
- [skipped] row_filter | title=planet nor fra | key=d193a034-b2e7-4603-9fb1-0b02832df2b4 | reason=past_release_date | tmdb=
- [dropped] tmdb_search | title=planet semi final | key=85293827-cae8-4d2a-9429-7cd43f5777e5 | reason=no_candidates | tmdb=
- [dropped] tmdb_search | title=planetshoetime naama | key=ab971b20-10ac-43a3-abdd-1ff786b50205 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=power ballad | key=39432ffd-b720-4bad-91de-9a4a0b3512f2 | reason=already_added | tmdb=
- [skipped] row_filter | title=practical magic 2 | key=b80a711b-4aba-49f1-80c1-0b34943e555d | reason=already_added | tmdb=
- [skipped] row_filter | title=pretty woman | key=9850af7d-23ec-4ba1-88df-007800dccb5d | reason=already_added | tmdb=
- [skipped] row_filter | title=primavera | key=36497ec6-911b-40ad-bfa4-7b6666181d6d | reason=already_added | tmdb= x2
- [skipped] row_filter | title=rental family | key=40df60f9-2ee7-4a6a-993d-882965cc35c8 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=resident evil | key=bd133e2b-5a4f-406d-aeac-b486e9d59f34 | reason=already_added | tmdb=
- [skipped] row_filter | title=saltiz | key=4019d680-7709-468f-9fe6-f233c9225646 | reason=already_added | tmdb= x3
- [skipped] row_filter | title=sarah bernhardt la divine | key=8b716d1a-4fa1-4b57-8568-8c725dec2aef | reason=already_added | tmdb=
- [skipped] row_filter | title=scary movie | key=4a91fbb3-f109-4543-999a-96a270c287f5 | reason=already_added | tmdb=
- [skipped] row_filter | title=school of magical animals 3 | key=8e7b0958-a5a7-4036-b8a5-a47c83c67996 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=seestarz | key=394cdd3e-271e-41b4-832f-9f51f9f7b6d9 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=sentimental value | key=71381b23-d4f6-4aa3-9919-ed5c4d79407c | reason=already_added | tmdb=
- [skipped] row_filter | title=shalom | key=52783b15-9b1d-49eb-a354-5d537b2a20ec | reason=already_added | tmdb=
- [skipped] row_filter | title=shell | key=62ed795e-451b-469f-96a0-c3bf3c64443b | reason=already_added | tmdb= x2
- [skipped] row_filter | title=shrek 5 | key=ee7e6c62-8286-47a8-88c8-a33503b04e80 | reason=already_added | tmdb=
- [skipped] row_filter | title=sonic the hedgehog 4 | key=cf283cab-4b57-4d1e-ac30-01d5dec94b2b | reason=already_added | tmdb=
- [skipped] row_filter | title=spa weekend | key=aeffcd33-19eb-450a-ba12-7311a8b449b1 | reason=already_added | tmdb=
