- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 589
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-04T01:48:37.263263+00:00
Finished (UTC): 2026-08-04T02:00:24.430569+00:00
Duration Seconds: 707.1673
Generated At (UTC): 2026-08-04T02:00:24.430746+00:00

SUMMARY COUNTS
- dropped: 15
- mapped: 238
- merged: 226

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 226
- group_filter|dropped|skip_token: 1
- tmdb_choice|mapped|director_match: 10
- tmdb_choice|mapped|fallback_first_candidate: 21
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 184
- tmdb_choice|mapped|tmdb_fix_id_match: 5
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=kikujiro | status=mapped | reason=title_first_match | rep_title=kikujiro | rows=2 | parsed_year=1999 | candidates=4 | chosen_tmdb=4291 | path=title_first_match
- key=lady and the tramp | status=mapped | reason=title_first_match | rep_title=lady and the tramp | rows=2 | parsed_year=1955 | candidates=8 | chosen_tmdb=10340 | path=title_first_match
- key=shalom | status=mapped | reason=title_first_match | rep_title=shalom | rows=6 | parsed_year=2026 | candidates=20 | chosen_tmdb=1694083 | path=title_first_match
- key=yvans revelation | status=mapped | reason=fallback_first_candidate | rep_title=yvans revelation | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1728124 | path=fallback_first_candidate
- key=paris texas | status=mapped | reason=title_first_match | rep_title=paris texas | rows=3 | parsed_year=1984 | candidates=5 | chosen_tmdb=655 | path=title_first_match
- key=ai 18 2026 | status=dropped | reason=no_candidates | rep_title=ai 18 2026 | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=killing of a chinese bookie | status=mapped | reason=title_first_match | rep_title=the killing of a chinese bookie | rows=2 | parsed_year=1976 | candidates=2 | chosen_tmdb=32040 | path=title_first_match
- key=late fame | status=mapped | reason=title_first_match | rep_title=late fame | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=1285895 | path=title_first_match
- key=for the love of a woman | status=mapped | reason=runtime_match | rep_title=for the love of a woman | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=runtime_match
- key=stalker | status=mapped | reason=title_first_match | rep_title=stalker | rows=2 | parsed_year=1979 | candidates=20 | chosen_tmdb=1398 | path=title_first_match
- key=valley of shadows | status=mapped | reason=title_first_match | rep_title=valley of shadows | rows=14 | parsed_year=2024 | candidates=6 | chosen_tmdb=1145857 | path=title_first_match
- key=one hundred and one dalmatians | status=mapped | reason=title_first_match | rep_title=one hundred and one dalmatians | rows=2 | parsed_year=1961 | candidates=4 | chosen_tmdb=12230 | path=title_first_match
- key=arco | status=mapped | reason=title_first_match | rep_title=arco | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=804370 | path=title_first_match
- key=cancel culture | status=mapped | reason=fallback_first_candidate | rep_title=cancel culture | rows=1 | parsed_year= | candidates=6 | chosen_tmdb=1655618 | path=fallback_first_candidate
- key=faces | status=mapped | reason=title_first_match | rep_title=faces | rows=3 | parsed_year=1968 | candidates=20 | chosen_tmdb=753 | path=title_first_match
- key=land of sometimes | status=mapped | reason=title_first_match | rep_title=the land of sometimes | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=467914 | path=title_first_match
- key=band together | status=mapped | reason=title_first_match | rep_title=band together | rows=1 | parsed_year=2025 | candidates=10 | chosen_tmdb=1437873 | path=title_first_match
