- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 506
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-28T01:28:15.430534+00:00
Finished (UTC): 2026-06-28T01:33:38.065069+00:00
Duration Seconds: 322.6345
Generated At (UTC): 2026-06-28T01:33:38.065273+00:00

SUMMARY COUNTS
- dropped: 8
- mapped: 76
- merged: 60

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 60
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 7
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 44
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 8
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=tasters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=1291712 | path=deduped_into_tmdb
- key=madly | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1500272 | path=deduped_into_tmdb
- key=fantasy life | status=merged | reason=deduped_into_tmdb | rep_title= | rows=5 | parsed_year= | candidates=0 | chosen_tmdb=1421977 | path=deduped_into_tmdb
- key=zootopia 2 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1084242 | path=deduped_into_tmdb
- key=spider man brand new day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=231 | parsed_year= | candidates=0 | chosen_tmdb=969681 | path=deduped_into_tmdb
- key=scary movie | status=merged | reason=deduped_into_tmdb | rep_title= | rows=38 | parsed_year= | candidates=0 | chosen_tmdb=1273221 | path=deduped_into_tmdb
- key=animal farm | status=merged | reason=deduped_into_tmdb | rep_title= | rows=11 | parsed_year= | candidates=0 | chosen_tmdb=539745 | path=deduped_into_tmdb
- key=cocktail 2 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=13 | parsed_year= | candidates=0 | chosen_tmdb=1392469 | path=deduped_into_tmdb
- key=choral | status=merged | reason=deduped_into_tmdb | rep_title= | rows=5 | parsed_year= | candidates=0 | chosen_tmdb=1262815 | path=deduped_into_tmdb
- key=saltiz | status=merged | reason=deduped_into_tmdb | rep_title= | rows=223 | parsed_year= | candidates=0 | chosen_tmdb=1696940 | path=deduped_into_tmdb
- key=et the extra terrestrial | status=merged | reason=deduped_into_tmdb | rep_title= | rows=28 | parsed_year= | candidates=0 | chosen_tmdb=601 | path=deduped_into_tmdb
- key=four love letters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=6 | parsed_year= | candidates=0 | chosen_tmdb=1293244 | path=deduped_into_tmdb
- key=jerry maguire | status=merged | reason=deduped_into_tmdb | rep_title= | rows=27 | parsed_year= | candidates=0 | chosen_tmdb=9390 | path=deduped_into_tmdb
- key=edward scissorhands | status=merged | reason=deduped_into_tmdb | rep_title= | rows=10 | parsed_year= | candidates=0 | chosen_tmdb=162 | path=deduped_into_tmdb
- key=forrest gump | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=13 | path=deduped_into_tmdb
- key=batman | status=merged | reason=deduped_into_tmdb | rep_title= | rows=28 | parsed_year= | candidates=0 | chosen_tmdb=268 | path=deduped_into_tmdb
- key=reminders of him | status=merged | reason=deduped_into_tmdb | rep_title= | rows=6 | parsed_year= | candidates=0 | chosen_tmdb=1367642 | path=deduped_into_tmdb
- key=pretty woman | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=114 | path=deduped_into_tmdb
- key=hollywood to broadway | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=95554 | path=deduped_into_tmdb
- key=moss freud | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1086247 | path=deduped_into_tmdb
- key=devil wears prada | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1314481 | path=deduped_into_tmdb
- key=pulp fiction | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=680 | path=deduped_into_tmdb
- key=wonder | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=406997 | path=deduped_into_tmdb
- key=tmdb_fix:1339713 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=16 | parsed_year= | candidates=0 | chosen_tmdb=1339713 | path=deduped_into_tmdb
- key=Lev Cinema | status=mapped | reason=upserted | rep_title= | rows=210 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Lev Cinema | status=mapped | reason=marked_added | rep_title= | rows=311 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Yes Planet | status=mapped | reason=upserted | rep_title= | rows=1330 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Yes Planet | status=mapped | reason=marked_added | rep_title= | rows=1817 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=MovieLand | status=mapped | reason=upserted | rep_title= | rows=421 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=MovieLand | status=mapped | reason=marked_added | rep_title= | rows=686 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Rav Hen | status=mapped | reason=upserted | rep_title= | rows=201 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Rav Hen | status=mapped | reason=marked_added | rep_title= | rows=252 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Hot Cinema | status=mapped | reason=upserted | rep_title= | rows=1616 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Hot Cinema | status=mapped | reason=marked_added | rep_title= | rows=2125 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=finalMovies | status=mapped | reason=upserted | rep_title= | rows=60 | parsed_year= | candidates=0 | chosen_tmdb= | path=final_movies

UNRESOLVED / DROPPED ITEMS
- no_candidates | group=kupa rashit | title=kupa rashit
- no_candidates | group=minions monsters english | title=minions monsters english
- no_candidates | group=animel farm | title=animel farm
- no_candidates | group=bear clow camp | title=bear clow camp
- no_candidates | group=movieretro | title=movieretro
- no_candidates | group=hot cinema | title=hot cinema
- no_candidates | group=comedy bar daniel cohen | title=comedy bar daniel cohen
- no_candidates | group=muhamad naama | title=muhamad naama

WRITE/DEDUPE ACTIONS
- dedupeFinalShowtimes(finalShowtimes)
- dedupeFinalMovies(finalMovies)
- upsertUpdates(finalShowtimes) cinema=Lev Cinema rows=210
- mark_added(allShowtimes) cinema=Lev Cinema rows=311
- delete_stale(finalShowtimes) cinema=Lev Cinema rows=282
- upsertUpdates(finalShowtimes) cinema=Yes Planet rows=1330
- mark_added(allShowtimes) cinema=Yes Planet rows=1817
- delete_stale(finalShowtimes) cinema=Yes Planet rows=1811
- upsertUpdates(finalShowtimes) cinema=MovieLand rows=421
- mark_added(allShowtimes) cinema=MovieLand rows=686
- delete_stale(finalShowtimes) cinema=MovieLand rows=523
- upsertUpdates(finalShowtimes) cinema=Rav Hen rows=201
- mark_added(allShowtimes) cinema=Rav Hen rows=252
- delete_stale(finalShowtimes) cinema=Rav Hen rows=272
- upsertUpdates(finalShowtimes) cinema=Hot Cinema rows=1616
