- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 513
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-04T01:40:53.982076+00:00
Finished (UTC): 2026-07-04T01:45:54.276358+00:00
Duration Seconds: 300.2943
Generated At (UTC): 2026-07-04T01:45:54.276631+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 67
- merged: 51

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 51
- tmdb_choice|mapped|director_match: 7
- tmdb_choice|mapped|fallback_first_candidate: 5
- tmdb_choice|mapped|runtime_match: 3
- tmdb_choice|mapped|title_first_match: 36
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 5
- write|mapped|upserted: 6

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=michael | status=merged | reason=deduped_into_tmdb | rep_title= | rows=106 | parsed_year= | candidates=0 | chosen_tmdb=936075 | path=deduped_into_tmdb
- key=scary movie | status=merged | reason=deduped_into_tmdb | rep_title= | rows=48 | parsed_year= | candidates=0 | chosen_tmdb=1273221 | path=deduped_into_tmdb
- key=project hail mary | status=merged | reason=deduped_into_tmdb | rep_title= | rows=5 | parsed_year= | candidates=0 | chosen_tmdb=687163 | path=deduped_into_tmdb
- key=saltiz | status=merged | reason=deduped_into_tmdb | rep_title= | rows=71 | parsed_year= | candidates=0 | chosen_tmdb=1696940 | path=deduped_into_tmdb
- key=super mario galaxy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=57 | parsed_year= | candidates=0 | chosen_tmdb=1226863 | path=deduped_into_tmdb
- key=hoppers | status=merged | reason=deduped_into_tmdb | rep_title= | rows=18 | parsed_year= | candidates=0 | chosen_tmdb=1327819 | path=deduped_into_tmdb
- key=no signal | status=merged | reason=deduped_into_tmdb | rep_title= | rows=17 | parsed_year= | candidates=0 | chosen_tmdb=1284787 | path=deduped_into_tmdb
- key=mandalorian and grogu | status=merged | reason=deduped_into_tmdb | rep_title= | rows=13 | parsed_year= | candidates=0 | chosen_tmdb=1228710 | path=deduped_into_tmdb
- key=spiked | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=1470334 | path=deduped_into_tmdb
- key=jungle beat 2 the past | status=merged | reason=deduped_into_tmdb | rep_title= | rows=5 | parsed_year= | candidates=0 | chosen_tmdb=1453180 | path=deduped_into_tmdb
