- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 461
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-02T01:26:12.120151+00:00
Finished (UTC): 2026-06-02T01:26:31.787229+00:00
Duration Seconds: 19.6671
Generated At (UTC): 2026-06-02T01:26:31.788659+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 11
- merged: 3
- skipped: 142

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 3
- enrich|mapped|enriched: 3
- row_filter|skipped|already_added: 79
- row_filter|skipped|past_release_date: 62
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_search|dropped|no_candidates: 12
- [skipped] row_filter | title=practical magic 2 | key=b80a711b-4aba-49f1-80c1-0b34943e555d | reason=already_added | tmdb=
- [skipped] row_filter | title=primavera | key=f99f33cc-f1a1-43ea-a7c3-f2129dc4929b | reason=already_added | tmdb=
- [skipped] row_filter | title=pulp fiction | key=8477198e-479c-4946-b1ea-ae87aa50035f | reason=already_added | tmdb=
- [skipped] row_filter | title=rapito | key=42458094-4474-4d66-b033-b8702fef9594 | reason=already_added | tmdb=
- [skipped] row_filter | title=resident evil | key=bd133e2b-5a4f-406d-aeac-b486e9d59f34 | reason=already_added | tmdb=
- [skipped] row_filter | title=saltiz | key=4019d680-7709-468f-9fe6-f233c9225646 | reason=already_added | tmdb= x3
- [skipped] row_filter | title=scary movie | key=2b7eaae5-4aad-4807-9797-19f3c2c44b84 | reason=already_added | tmdb=
- [skipped] row_filter | title=seestarz | key=b2ddf12c-bebe-4483-aa46-91e5adb21299 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=shell | key=b833678c-f2bd-4346-a65b-ab4b3c87d99e | reason=past_release_date | tmdb=
- [skipped] row_filter | title=sitaare zameen par | key=e8554bac-739d-4954-aa36-26748d9143dc | reason=already_added | tmdb=
- [skipped] row_filter | title=slumdog millionaire | key=0bbdc579-afca-4745-b057-6fa6741ec899 | reason=already_added | tmdb=
- [skipped] row_filter | title=sonic the hedgehog 4 | key=cf283cab-4b57-4d1e-ac30-01d5dec94b2b | reason=already_added | tmdb=
- [skipped] row_filter | title=spider man brand new day | key=9942543e-69c9-4d5d-8f73-c98ded62b380 | reason=already_added | tmdb=
- [skipped] row_filter | title=star wars the mandalorian and grogu | key=2c102164-643f-4e4b-afa4-eb3c37ecd1d0 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=stolen girl | key=349605ed-b25f-4075-a362-b85918f6f64a | reason=past_release_date | tmdb=
- [skipped] row_filter | title=street fighter | key=7c005650-33ab-4c30-91e0-4f0f1c84d3be | reason=already_added | tmdb=
- [skipped] row_filter | title=supergirl | key=a0a6a168-c7e8-460a-9a69-44ee4be66760 | reason=already_added | tmdb=
- [skipped] row_filter | title=tel aviv beirut | key=42d6e769-3ff7-4057-bcdf-195e6451c33a | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the adventures of priscilla queen of the desert | key=1d7bda4a-0075-4b7d-9999-dc6452eecca2 | reason=already_added | tmdb=
- [skipped] row_filter | title=the bad boy and me 2 | key=0865e6b8-6cd0-4045-8a1b-968ac891acb1 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the cat in the hat | key=b8bd4f01-a265-461a-a833-e328b2dbf94d | reason=already_added | tmdb=
- [skipped] row_filter | title=the choral | key=6a49c58f-9ac2-4c62-9e60-ca458e7237d3 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=the christophers | key=b96f0fc4-ce9e-41b2-b9fb-24f64662c137 | reason=already_added | tmdb=
- [skipped] row_filter | title=the devil wears prada 2 | key=0acaabbd-1ed4-4d29-abaf-a95876bb20f1 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the dog stars | key=96c8a34f-e44d-4067-a79d-0f5ef2d418a2 | reason=already_added | tmdb=
- [skipped] row_filter | title=the fifth element | key=3bda2bd3-8ead-4c6f-8df3-c47493b7922c | reason=already_added | tmdb=
- [skipped] row_filter | title=the great lillian hall | key=75940bcd-5f64-4259-9b27-f0d9663098c9 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=the hunger games sunrise on the reaping | key=298f9b59-21df-4a3a-9891-e26e96c7b3aa | reason=already_added | tmdb=
- [skipped] row_filter | title=the invite | key=c5bb9046-5c84-4f1c-925f-a52dc2a7509b | reason=already_added | tmdb=
- [skipped] row_filter | title=the last whale singer | key=da64a88a-de7d-45b3-937e-68b2d558cc9b | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the mandalorian and grogu | key=fc0d12bc-4c32-4219-aa8e-a7d5ac5c22cd | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the mandalorian grogu | key=981e45b9-2cb6-44e5-84d0-2999597d6208 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the mood board | key=8c45518a-b8d1-4f30-b2a0-db234e097186 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=the odyssey | key=637d152c-7b9c-4bc3-9d44-ea2624a88318 | reason=already_added | tmdb=
- [skipped] row_filter | title=the sheep detectives | key=556cade4-f67a-4dfe-90cb-d726914c3657 | reason=past_release_date | tmdb= x3
- [skipped] row_filter | title=the tasters | key=01c650fa-b400-4643-8101-345b8874a64e | reason=already_added | tmdb=
- [skipped] row_filter | title=the whale | key=5a4a09b7-3299-4a9b-abc2-06efeabd5dc7 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=three men and vilma | key=c931509b-7319-4336-9992-f3ef007f6d59 | reason=already_added | tmdb=
- [skipped] row_filter | title=top gun | key=11460e72-8219-4536-a780-b0ea912c4175 | reason=past_release_date | tmdb= x3
- [skipped] row_filter | title=top gun 1986 | key=b6cf08b1-7223-4d35-9221-6e9dc542e7e8 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=top gun 40th anniversary | key=fe75babc-4db0-4311-a575-982b5ea3ca0a | reason=past_release_date | tmdb=
- [skipped] row_filter | title=top gun double feature | key=600cee7a-5533-449e-971c-f2f257579fec | reason=past_release_date | tmdb=
- [skipped] row_filter | title=top gun maverick | key=0ea03664-28fe-4468-86a8-6fbf759ccce7 | reason=past_release_date | tmdb= x4
- [skipped] row_filter | title=toy story 5 | key=6a86591f-e9db-46fb-8136-ba7a6264a3f1 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=tuner | key=070e4f91-290f-41a1-848d-fbf62ae26453 | reason=already_added | tmdb=
- [skipped] row_filter | title=verity | key=db78f59b-6e49-4084-961b-e4ee4fa909b3 | reason=already_added | tmdb=
- [skipped] row_filter | title=what is love | key=8d6320c4-7d1d-4102-b318-7819c04f3d79 | reason=already_added | tmdb=
- [skipped] row_filter | title=wild horse nine | key=8c87b8b7-9c2d-4bb2-9b27-03a6ae1eab7b | reason=already_added | tmdb=
