- - -
DATAFLOW SUMMARY
- - -
Name: CinemathequesTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:40:34.071448+00:00
Finished (UTC): 2026-09-04T11:50:08.770794+00:00
Duration Seconds: 574.6993
Generated At (UTC): 2026-09-04T11:50:08.771107+00:00

SUMMARY COUNTS
- dropped: 4
- mapped: 170
- merged: 162

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 162
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 5
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 143
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 2
- tmdb_search|dropped|no_candidates: 4
- write|mapped|marked_added: 3
- write|mapped|upserted: 4

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- key=my favorite season | status=mapped | reason=title_first_match | rep_title=my favorite season | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=52873 | path=title_first_match
- key=find me okay | status=mapped | reason=title_first_match | rep_title=find me okay | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1715482 | path=title_first_match
- key=flamingos life after the meteorite | status=mapped | reason=title_first_match | rep_title=flamingos life after the meteorite | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1372572 | path=title_first_match
- key=sting | status=mapped | reason=title_first_match | rep_title=the sting | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=9277 | path=title_first_match
- key=hudsucker proxy | status=mapped | reason=title_first_match | rep_title=the hudsucker proxy | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=11934 | path=title_first_match
- key=cat on a hot tin roof | status=mapped | reason=title_first_match | rep_title=cat on a hot tin roof | rows=2 | parsed_year= | candidates=7 | chosen_tmdb=261 | path=title_first_match
- key=hustler | status=mapped | reason=title_first_match | rep_title=the hustler | rows=2 | parsed_year= | candidates=20 | chosen_tmdb=990 | path=title_first_match
- key=haute couture | status=mapped | reason=title_first_match | rep_title=haute couture | rows=1 | parsed_year= | candidates=15 | chosen_tmdb=719463 | path=title_first_match
- key=color of money | status=mapped | reason=title_first_match | rep_title=the color of money | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=11873 | path=title_first_match
- key=water | status=mapped | reason=director_match | rep_title=water | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=7509 | path=director_match
- key=burnt by the sun | status=mapped | reason=title_first_match | rep_title=burnt by the sun | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=50797 | path=title_first_match
- key=invite | status=mapped | reason=title_first_match | rep_title=the invite | rows=3 | parsed_year= | candidates=20 | chosen_tmdb=950028 | path=title_first_match
- key=life and other problems | status=mapped | reason=title_first_match | rep_title=life and other problems | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1241851 | path=title_first_match
- key=proof | status=mapped | reason=director_match | rep_title=proof | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=14904 | path=director_match
- key=maltese falcon | status=mapped | reason=title_first_match | rep_title=the maltese falcon | rows=2 | parsed_year= | candidates=3 | chosen_tmdb=963 | path=title_first_match
- key=whisky | status=mapped | reason=title_first_match | rep_title=whisky | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=36971 | path=title_first_match
- key=drive | status=mapped | reason=title_first_match | rep_title=drive | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=64690 | path=title_first_match
- key=hunt for the wilderpeople | status=mapped | reason=title_first_match | rep_title=hunt for the wilderpeople | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=371645 | path=title_first_match
- key=matilda | status=mapped | reason=title_first_match | rep_title=matilda | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=10830 | path=title_first_match
- key=ive loved you so long | status=mapped | reason=title_first_match | rep_title=ive loved you so long | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=8276 | path=title_first_match
- key=tasters | status=mapped | reason=title_first_match | rep_title=the tasters | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=1291712 | path=title_first_match
- key=star trek iii the search for spock | status=mapped | reason=title_first_match | rep_title=star trek iii the search for spock | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=157 | path=title_first_match
- key=things were like that | status=mapped | reason=title_first_match | rep_title=things were like that | rows=2 | parsed_year= | candidates=1 | chosen_tmdb=1685124 | path=title_first_match
- key=my brilliant career | status=mapped | reason=title_first_match | rep_title=my brilliant career | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=16659 | path=title_first_match
- key=long hot summer | status=mapped | reason=title_first_match | rep_title=the long hot summer | rows=2 | parsed_year= | candidates=4 | chosen_tmdb=40085 | path=title_first_match
- key=effect of gamma rays on man in the moon marigolds | status=mapped | reason=title_first_match | rep_title=the effect of gamma rays on man in the moon marigolds | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=88875 | path=title_first_match
- key=our precious children | status=dropped | reason=no_candidates | rep_title=our precious children | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=piano | status=mapped | reason=title_first_match | rep_title=the piano | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=713 | path=title_first_match
- key=observation diary | status=mapped | reason=title_first_match | rep_title=observation diary | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1267666 | path=title_first_match
- key=touching the void | status=mapped | reason=title_first_match | rep_title=touching the void | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=11194 | path=title_first_match
- key=little devil | status=mapped | reason=director_match | rep_title=the little devil | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=43645 | path=director_match
- key=finding harmony a kings vision | status=mapped | reason=title_first_match | rep_title=finding harmony a kings vision | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1559456 | path=title_first_match
- key=unexpected love | status=mapped | reason=title_first_match | rep_title=an unexpected love | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=125233 | path=title_first_match
- key=willy wonka the chocolate factory | status=mapped | reason=title_first_match | rep_title=willy wonka the chocolate factory | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=252 | path=title_first_match
- key=star trek v the final frontier | status=mapped | reason=title_first_match | rep_title=star trek v the final frontier | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=172 | path=title_first_match
- key=star trek vi the undiscovered country | status=mapped | reason=title_first_match | rep_title=star trek vi the undiscovered country | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=174 | path=title_first_match
- key=cool hand luke | status=mapped | reason=title_first_match | rep_title=cool hand luke | rows=2 | parsed_year= | candidates=2 | chosen_tmdb=903 | path=title_first_match
- key=tulpan | status=mapped | reason=title_first_match | rep_title=tulpan | rows=1 | parsed_year= | candidates=6 | chosen_tmdb=8939 | path=title_first_match
- key=star trek iv the voyage home | status=mapped | reason=title_first_match | rep_title=star trek iv the voyage home | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=168 | path=title_first_match
- key=shower | status=mapped | reason=title_first_match | rep_title=the shower | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=550439 | path=title_first_match
- key=glass menagerie | status=mapped | reason=title_first_match | rep_title=the glass menagerie | rows=1 | parsed_year= | candidates=7 | chosen_tmdb=52780 | path=title_first_match
- key=fiorile | status=mapped | reason=title_first_match | rep_title=fiorile | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=41648 | path=title_first_match
- key=princess mononoke | status=mapped | reason=title_first_match | rep_title=princess mononoke | rows=1 | parsed_year= | candidates=6 | chosen_tmdb=128 | path=title_first_match
- key=fantastic mr fox | status=mapped | reason=title_first_match | rep_title=fantastic mr fox | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=10315 | path=title_first_match
- key=road to perdition | status=mapped | reason=title_first_match | rep_title=road to perdition | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=4147 | path=title_first_match
- key=deep blue | status=mapped | reason=runtime_match | rep_title=deep blue | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=11019 | path=runtime_match
- key=wetland | status=mapped | reason=title_first_match | rep_title=wetland | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=808969 | path=title_first_match
- key=star trek ii the wrath of khan | status=mapped | reason=title_first_match | rep_title=star trek ii the wrath of khan | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=154 | path=title_first_match
- key=hysteria | status=mapped | reason=title_first_match | rep_title=hysteria | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=75802 | path=title_first_match
