- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 622
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-04T11:27:34.272481+00:00
Finished (UTC): 2026-09-04T11:29:12.292232+00:00
Duration Seconds: 98.0198
Generated At (UTC): 2026-09-04T11:29:12.292311+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 70
- merged: 22
- skipped: 143

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 22
- enrich|mapped|enriched: 22
- row_filter|skipped|already_added: 134
- row_filter|skipped|past_release_date: 7
- row_filter|skipped|skip_token: 2
- tmdb_choice|mapped|fallback_first_candidate: 18
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 22
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- write|mapped|upserted: 1

- [mapped] tmdb_choice | title=muzzle city of wolves | key=cbd2af29-9f06-4e99-8f97-4959f9fa7086 | reason=runtime_match | tmdb=1439112 x2
- [skipped] row_filter | title=my one and only | key=325f1c49-94bf-437d-ac3f-c053e7e41c5e | reason=already_added | tmdb=
- [skipped] row_filter | title=noga | key=58a8f7c6-ea3e-47f3-af06-39baad79884d | reason=already_added | tmdb=
- [skipped] row_filter | title=not alone | key=8795c525-a416-49fc-a0db-0e76be03d8d6 | reason=already_added | tmdb=
- [merged] dedupe | title=oasis dont look back in anger | key=a956860e-ccd8-47f8-a2cc-9c33d88ddc16 | reason=deduped_into_tmdb | tmdb=1447853
- [mapped] enrich | title=Oasis: Don't Look Back in Anger | key=a956860e-ccd8-47f8-a2cc-9c33d88ddc16 | reason=enriched | tmdb=1447853
- [mapped] tmdb_choice | title=oasis dont look back in anger | key=a956860e-ccd8-47f8-a2cc-9c33d88ddc16 | reason=title_first_match | tmdb=1447853 x2
- [skipped] row_filter | title=omaha | key=6560c4b5-a625-4f52-a4a7-1eca98f6f003 | reason=already_added | tmdb=
- [skipped] row_filter | title=one night only | key=91aae654-61e1-4577-876e-8a451a71a157 | reason=already_added | tmdb=
- [merged] dedupe | title=orphan | key=594bb79b-fbd8-4a0b-9e12-36d618133c02 | reason=deduped_into_tmdb | tmdb=803208
- [mapped] enrich | title=Orphan | key=594bb79b-fbd8-4a0b-9e12-36d618133c02 | reason=enriched | tmdb=803208
- [mapped] tmdb_choice | title=orphan | key=594bb79b-fbd8-4a0b-9e12-36d618133c02 | reason=title_first_match | tmdb=803208 x2
- [skipped] row_filter | title=other mommy | key=c3819b14-5c74-4075-b491-4b0088938049 | reason=already_added | tmdb=
- [merged] dedupe | title=our loves | key=ff48b2f6-5647-44c4-ad70-5fca16f696f7 | reason=deduped_into_tmdb | tmdb=1239958
- [mapped] enrich | title=Our Loves | key=ff48b2f6-5647-44c4-ad70-5fca16f696f7 | reason=enriched | tmdb=1239958
- [mapped] tmdb_choice | title=our loves | key=ff48b2f6-5647-44c4-ad70-5fca16f696f7 | reason=title_first_match | tmdb=1239958 x2
- [merged] dedupe | title=paper tiger | key=4e05292e-bda9-4dfb-ae23-12606d419707 | reason=deduped_into_tmdb | tmdb=1381273
- [mapped] enrich | title=Paper Tiger | key=4e05292e-bda9-4dfb-ae23-12606d419707 | reason=enriched | tmdb=1381273
- [mapped] tmdb_choice | title=paper tiger | key=4e05292e-bda9-4dfb-ae23-12606d419707 | reason=runtime_match | tmdb=1381273 x2
- [skipped] row_filter | title=party | key=804ebc8b-8fa9-4364-9cda-ab5cacd41a1e | reason=already_added | tmdb=
- [skipped] row_filter | title=paw patrol the dino movie | key=47f44038-0348-4a33-82a4-b6b254eaac5e | reason=already_added | tmdb= x3
- [skipped] row_filter | title=practical magic 2 | key=b80a711b-4aba-49f1-80c1-0b34943e555d | reason=already_added | tmdb=
- [skipped] row_filter | title=primavera | key=d999ba07-2fc1-4f0a-85a8-bc24f629f91c | reason=already_added | tmdb= x2
- [skipped] row_filter | title=raksha bandhan | key=ce495b7f-6c8a-44c8-bedf-ef8ef179ea57 | reason=already_added | tmdb=
- [skipped] row_filter | title=resident evil | key=bd133e2b-5a4f-406d-aeac-b486e9d59f34 | reason=already_added | tmdb=
- [merged] dedupe | title=rolling loud | key=627cfd84-faac-4cd6-bfdf-24bd30e51ca5 | reason=deduped_into_tmdb | tmdb=1336166
- [mapped] tmdb_choice | title=rolling loud | key=627cfd84-faac-4cd6-bfdf-24bd30e51ca5 | reason=fallback_first_candidate | tmdb=1336166 x4
- [mapped] enrich | title=Rolling Loud: The Movie | key=627cfd84-faac-4cd6-bfdf-24bd30e51ca5 | reason=enriched | tmdb=1336166
- [skipped] row_filter | title=runner | key=f4828fc2-073f-430b-bc58-49f2d394c72c | reason=already_added | tmdb=
- [dropped] tmdb_search | title=seestarz | key=37fed79e-81ed-4db8-af54-c61ebdffe3c4 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=shadows edge | key=ac22c0a8-c157-484e-99a2-06fe012cef9e | reason=already_added | tmdb=
