- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 601
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-14T01:39:14.314233+00:00
Finished (UTC): 2026-08-14T01:46:24.480967+00:00
Duration Seconds: 430.1667
Generated At (UTC): 2026-08-14T01:46:24.481116+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 127
- merged: 100

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 100
- group_filter|dropped|skip_token: 4
- tmdb_choice|mapped|director_match: 4
- tmdb_choice|mapped|fallback_first_candidate: 19
- tmdb_choice|mapped|runtime_match: 5
- tmdb_choice|mapped|title_first_match: 69
- tmdb_choice|mapped|tmdb_fix_id_match: 8
- tmdb_choice|mapped|tmdb_fix_override: 8
- tmdb_search|dropped|no_candidates: 14
- write|mapped|marked_added: 6
- write|mapped|upserted: 8

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=band together | status=mapped | reason=fallback_first_candidate | rep_title=band together | rows=1 | parsed_year= | candidates=10 | chosen_tmdb=901362 | path=fallback_first_candidate
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
- key=forrest gump | status=mapped | reason=title_first_match | rep_title=forrest gump | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=13 | path=title_first_match
- key=10 | status=mapped | reason=fallback_first_candidate | rep_title=10 | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=104194 | path=fallback_first_candidate
- key=project hail mary | status=mapped | reason=title_first_match | rep_title=project hail mary | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=687163 | path=title_first_match
- key=three men and vilma | status=mapped | reason=fallback_first_candidate | rep_title=three men and vilma | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1340922 | path=fallback_first_candidate
- key=hollywood to broadway | status=mapped | reason=fallback_first_candidate | rep_title=hollywood to broadway | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=95554 | path=fallback_first_candidate
- key=devil wears prada | status=mapped | reason=tmdb_fix_id_match | rep_title=the devil wears prada | rows=1 | parsed_year= | candidates=4 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=mandalorian and grogu | status=mapped | reason=title_first_match | rep_title=the mandalorian and grogu | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1228710 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=edward scissorhands | status=mapped | reason=title_first_match | rep_title=edward scissorhands | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=162 | path=title_first_match
- key=moana | status=mapped | reason=tmdb_fix_id_match | rep_title=moana | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1108427 | path=tmdb_fix_id_match
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=great lillian hall | status=mapped | reason=title_first_match | rep_title=the great lillian hall | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=800513 | path=title_first_match
- key=mandalorian grogu | status=mapped | reason=fallback_first_candidate | rep_title=the mandalorian grogu | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=no signal | status=mapped | reason=title_first_match | rep_title=no signal | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1284787 | path=title_first_match
- key=ilanot | status=mapped | reason=title_first_match | rep_title=ilanot | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1663161 | path=title_first_match
- key=walle | status=mapped | reason=fallback_first_candidate | rep_title=walle | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=80849 | path=fallback_first_candidate
- key=tmdb_fix:1315772 | status=mapped | reason=tmdb_fix_override | rep_title=minions monsters english | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=tmdb_fix_override
- key=bear clow camp | status=dropped | reason=no_candidates | rep_title=bear clow camp | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=des minions et des monstres | status=mapped | reason=tmdb_fix_id_match | rep_title=des minions et des monstres | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1315772 | path=tmdb_fix_id_match
- key=planet semi final | status=dropped | reason=skip_token | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=youthful grace | status=mapped | reason=title_first_match | rep_title=youthful grace | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1319168 | path=title_first_match
- key=planet spa bel | status=dropped | reason=no_candidates | rep_title=planet spa bel | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=goat | status=mapped | reason=title_first_match | rep_title=goat | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1297842 | path=title_first_match
- key=backrooms | status=mapped | reason=title_first_match | rep_title=backrooms | rows=1 | parsed_year= | candidates=12 | chosen_tmdb=1083381 | path=title_first_match
- key=2planet semi | status=dropped | reason=skip_token | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=batman | status=mapped | reason=fallback_first_candidate | rep_title=batman | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=414906 | path=fallback_first_candidate
- key=vaiana la legende du bout du monde | status=mapped | reason=tmdb_fix_id_match | rep_title=vaiana la legende du bout du monde | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1108427 | path=tmdb_fix_id_match
- key=koln 75 | status=mapped | reason=title_first_match | rep_title=koln 75 | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=title_first_match
- key=in the grey | status=mapped | reason=title_first_match | rep_title=in the grey | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1122573 | path=title_first_match
- key=per amore di una donna | status=mapped | reason=fallback_first_candidate | rep_title=per amore di una donna | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1143204 | path=fallback_first_candidate
- key=sarah bernhardt la divine | status=mapped | reason=fallback_first_candidate | rep_title=sarah bernhardt la divine | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1228322 | path=fallback_first_candidate
- key=hoppers | status=mapped | reason=title_first_match | rep_title=hoppers | rows=1 | parsed_year= | candidates=16 | chosen_tmdb=1327819 | path=title_first_match
- key=animal farm | status=mapped | reason=title_first_match | rep_title=animal farm | rows=1 | parsed_year= | candidates=16 | chosen_tmdb=539745 | path=title_first_match
- key=super mario galaxy | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=tmdb_fix:1279493 | status=mapped | reason=tmdb_fix_override | rep_title=the get out aka bear country | rows=1 | parsed_year= | candidates=0 | chosen_tmdb=1279493 | path=tmdb_fix_override
- key=black box | status=mapped | reason=title_first_match | rep_title=black box | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1321008 | path=title_first_match
- key=heaven and earth | status=mapped | reason=title_first_match | rep_title=heaven and earth | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=41845 | path=title_first_match
- key=lodyssee | status=mapped | reason=fallback_first_candidate | rep_title=lodyssee | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=332794 | path=fallback_first_candidate
- key=animel farm | status=dropped | reason=no_candidates | rep_title=animel farm | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=1 | parsed_year= | candidates=5 | chosen_tmdb=1275779 | path=title_first_match
- key=planet final | status=dropped | reason=skip_token | rep_title= | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=spiked | status=mapped | reason=title_first_match | rep_title=spiked | rows=1 | parsed_year= | candidates=9 | chosen_tmdb=1470334 | path=title_first_match
- key=tuner | status=mapped | reason=tmdb_fix_id_match | rep_title=tuner | rows=1 | parsed_year= | candidates=17 | chosen_tmdb=1340206 | path=tmdb_fix_id_match
- key=sheep detectives | status=mapped | reason=title_first_match | rep_title=the sheep detectives | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1301421 | path=title_first_match
- key=supergirl | status=mapped | reason=title_first_match | rep_title=supergirl | rows=1 | parsed_year= | candidates=16 | chosen_tmdb=1081003 | path=title_first_match
- key=makolet | status=dropped | reason=no_candidates | rep_title=makolet | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=welcome to the jungle | status=mapped | reason=title_first_match | rep_title=welcome to the jungle | rows=1 | parsed_year= | candidates=9 | chosen_tmdb=1169516 | path=title_first_match
- key=drivers ed | status=mapped | reason=title_first_match | rep_title=drivers ed | rows=1 | parsed_year= | candidates=10 | chosen_tmdb=1398050 | path=title_first_match
- key=scary movie | status=mapped | reason=title_first_match | rep_title=scary movie | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1273221 | path=title_first_match
- key=last whale singer | status=mapped | reason=title_first_match | rep_title=the last whale singer | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=677558 | path=title_first_match
- key=how to make a killing | status=mapped | reason=title_first_match | rep_title=how to make a killing | rows=1 | parsed_year= | candidates=3 | chosen_tmdb=467905 | path=title_first_match
- key=power ballad | status=mapped | reason=title_first_match | rep_title=power ballad | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1284016 | path=title_first_match
- key=get out | status=mapped | reason=tmdb_fix_id_match | rep_title=the get out | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=1279493 | path=tmdb_fix_id_match
- key=bambi the reckoning | status=mapped | reason=title_first_match | rep_title=bambi the reckoning | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1049942 | path=title_first_match
- key=338 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=715 | parsed_year= | candidates=0 | chosen_tmdb=1693984 | path=deduped_into_tmdb
- key=tmdb_fix:1368337 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=965 | parsed_year= | candidates=0 | chosen_tmdb=1368337 | path=deduped_into_tmdb
- key=spiderman brand new day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=732 | parsed_year= | candidates=0 | chosen_tmdb=969681 | path=deduped_into_tmdb
- key=one night only | status=merged | reason=deduped_into_tmdb | rep_title= | rows=615 | parsed_year= | candidates=0 | chosen_tmdb=1433367 | path=deduped_into_tmdb
- key=fuze | status=merged | reason=deduped_into_tmdb | rep_title= | rows=368 | parsed_year= | candidates=0 | chosen_tmdb=1242265 | path=deduped_into_tmdb
- key=marsupilami | status=merged | reason=deduped_into_tmdb | rep_title= | rows=382 | parsed_year= | candidates=0 | chosen_tmdb=1145899 | path=deduped_into_tmdb
- key=spa weekend | status=merged | reason=deduped_into_tmdb | rep_title= | rows=130 | parsed_year= | candidates=0 | chosen_tmdb=1341138 | path=deduped_into_tmdb
- key=end of oak street | status=merged | reason=deduped_into_tmdb | rep_title= | rows=620 | parsed_year= | candidates=0 | chosen_tmdb=1101383 | path=deduped_into_tmdb
- key=ice cream man | status=merged | reason=deduped_into_tmdb | rep_title= | rows=275 | parsed_year= | candidates=0 | chosen_tmdb=1477712 | path=deduped_into_tmdb
- key=bitter christmas | status=merged | reason=deduped_into_tmdb | rep_title= | rows=346 | parsed_year= | candidates=0 | chosen_tmdb=1088548 | path=deduped_into_tmdb
- key=valley of shadows | status=merged | reason=deduped_into_tmdb | rep_title= | rows=229 | parsed_year= | candidates=0 | chosen_tmdb=1145857 | path=deduped_into_tmdb
- key=minions monsters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=427 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=deduped_into_tmdb
- key=damned if you do damned if you dont | status=merged | reason=deduped_into_tmdb | rep_title= | rows=167 | parsed_year= | candidates=0 | chosen_tmdb=1520507 | path=deduped_into_tmdb
- key=toy story 5 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=272 | parsed_year= | candidates=0 | chosen_tmdb=1084244 | path=deduped_into_tmdb
- key=paw patrol the dino movie | status=merged | reason=deduped_into_tmdb | rep_title= | rows=487 | parsed_year= | candidates=0 | chosen_tmdb=1185806 | path=deduped_into_tmdb
- key=tmdb_fix:1568027 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=323 | parsed_year= | candidates=0 | chosen_tmdb=1568027 | path=deduped_into_tmdb
- key=for the love of a woman | status=merged | reason=deduped_into_tmdb | rep_title= | rows=6 | parsed_year= | candidates=0 | chosen_tmdb=1143204 | path=deduped_into_tmdb
