- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 522
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-10T01:47:45.300820+00:00
Finished (UTC): 2026-07-10T01:54:03.562648+00:00
Duration Seconds: 378.2618
Generated At (UTC): 2026-07-10T01:54:03.562916+00:00

SUMMARY COUNTS
- dropped: 18
- mapped: 78
- merged: 59

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 59
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 8
- tmdb_choice|mapped|runtime_match: 4
- tmdb_choice|mapped|title_first_match: 41
- tmdb_choice|mapped|tmdb_fix_id_match: 4
- tmdb_choice|mapped|tmdb_fix_override: 3
- tmdb_search|dropped|no_candidates: 18
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=Yes Planet | status=mapped | reason=upserted | rep_title= | rows=2128 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Yes Planet | status=mapped | reason=marked_added | rep_title= | rows=4011 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Hot Cinema | status=mapped | reason=upserted | rep_title= | rows=1697 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Hot Cinema | status=mapped | reason=marked_added | rep_title= | rows=3016 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Lev Cinema | status=mapped | reason=upserted | rep_title= | rows=277 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Lev Cinema | status=mapped | reason=marked_added | rep_title= | rows=425 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Cinema City | status=mapped | reason=upserted | rep_title= | rows=1969 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Cinema City | status=mapped | reason=marked_added | rep_title= | rows=3441 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Rav Hen | status=mapped | reason=upserted | rep_title= | rows=507 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
- key=Rav Hen | status=mapped | reason=marked_added | rep_title= | rows=632 | parsed_year= | candidates=0 | chosen_tmdb= | path=publish_by_cinema
