- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 453
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T15:52:05.607715+00:00
Finished (UTC): 2026-05-26T15:59:11.762439+00:00
Duration Seconds: 426.1547
Generated At (UTC): 2026-05-26T15:59:11.762659+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 101
- merged: 80

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 80
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 61
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=shelter | status=mapped | reason=title_first_match | rep_title=shelter | rows=11 | parsed_year= | candidates=20 | chosen_tmdb=1290821 | path=title_first_match
- key=le diable shabille en prada 2 | status=mapped | reason=tmdb_fix_id_match | rep_title=le diable shabille en prada 2 | rows=5 | parsed_year= | candidates=1 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=housemaid | status=mapped | reason=tmdb_fix_override | rep_title=the housemaid | rows=3 | parsed_year= | candidates=0 | chosen_tmdb=1368166 | path=tmdb_fix_override
- key=billie eilish hit me hard and soft the tour live in 3d | status=mapped | reason=title_first_match | rep_title=billie eilish hit me hard and soft the tour live in 3d | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1515899 | path=title_first_match
- key=nirvanna the band the show the movie | status=mapped | reason=director_match | rep_title=nirvanna the band the show the movie | rows=16 | parsed_year=2025 | candidates=1 | chosen_tmdb=1154538 | path=director_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=star wars the mandalorian and grogu | status=mapped | reason=fallback_first_candidate | rep_title=star wars the mandalorian and grogu | rows=80 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=83 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=disclosure day | status=mapped | reason=title_first_match | rep_title=disclosure day | rows=26 | parsed_year=2026 | candidates=3 | chosen_tmdb=1275779 | path=title_first_match
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=15 | parsed_year=1987 | candidates=0 | chosen_tmdb= | path=
