- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 572
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-07-24T01:50:14.205296+00:00
Finished (UTC): 2026-07-24T01:50:35.128761+00:00
Duration Seconds: 20.9235
Generated At (UTC): 2026-07-24T01:50:35.130525+00:00

SUMMARY COUNTS
- dropped: 12
- mapped: 8
- merged: 2
- skipped: 164

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 2
- enrich|mapped|enriched: 2
- row_filter|skipped|already_added: 111
- row_filter|skipped|past_release_date: 52
- row_filter|skipped|skip_token: 1
- tmdb_choice|mapped|title_first_match: 4
- tmdb_search|dropped|no_candidates: 12
- write|mapped|marked_added: 1
- [skipped] row_filter | title=planet nor fra | key=d193a034-b2e7-4603-9fb1-0b02832df2b4 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=planet semi final | key=85293827-cae8-4d2a-9429-7cd43f5777e5 | reason=past_release_date | tmdb=
- [dropped] tmdb_search | title=planetshoetime naama | key=b6088028-2246-44a7-a959-905eaa931865 | reason=no_candidates | tmdb=
- [skipped] row_filter | title=power ballad | key=39432ffd-b720-4bad-91de-9a4a0b3512f2 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=practical magic 2 | key=b80a711b-4aba-49f1-80c1-0b34943e555d | reason=already_added | tmdb=
- [skipped] row_filter | title=pretty woman | key=9850af7d-23ec-4ba1-88df-007800dccb5d | reason=already_added | tmdb=
- [skipped] row_filter | title=primavera | key=36497ec6-911b-40ad-bfa4-7b6666181d6d | reason=already_added | tmdb= x2
- [skipped] row_filter | title=raksha bandhan | key=ce495b7f-6c8a-44c8-bedf-ef8ef179ea57 | reason=already_added | tmdb=
- [skipped] row_filter | title=rental family | key=40df60f9-2ee7-4a6a-993d-882965cc35c8 | reason=past_release_date | tmdb= x2
- [skipped] row_filter | title=resident evil | key=bd133e2b-5a4f-406d-aeac-b486e9d59f34 | reason=already_added | tmdb=
- [skipped] row_filter | title=saltiz | key=4019d680-7709-468f-9fe6-f233c9225646 | reason=already_added | tmdb= x4
- [skipped] row_filter | title=sarah bernhardt la divine | key=8b716d1a-4fa1-4b57-8568-8c725dec2aef | reason=past_release_date | tmdb=
- [skipped] row_filter | title=school of magical animals 3 | key=8e7b0958-a5a7-4036-b8a5-a47c83c67996 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=seestarz | key=88b49cfc-48f2-4d9c-aaa0-fe2b96862e6c | reason=no_candidates | tmdb=
- [skipped] row_filter | title=shadows edge | key=ac22c0a8-c157-484e-99a2-06fe012cef9e | reason=already_added | tmdb=
- [skipped] row_filter | title=shalom | key=52783b15-9b1d-49eb-a354-5d537b2a20ec | reason=past_release_date | tmdb=
- [skipped] row_filter | title=shrek 5 | key=ee7e6c62-8286-47a8-88c8-a33503b04e80 | reason=already_added | tmdb=
- [skipped] row_filter | title=sonic the hedgehog 4 | key=cf283cab-4b57-4d1e-ac30-01d5dec94b2b | reason=already_added | tmdb=
- [skipped] row_filter | title=spa weekend | key=aeffcd33-19eb-450a-ba12-7311a8b449b1 | reason=already_added | tmdb=
- [skipped] row_filter | title=spider man brand new day | key=9942543e-69c9-4d5d-8f73-c98ded62b380 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=spider man brand new day vos seances en francais du film | key=7c774781-9dd4-430e-926b-543a79398d6f | reason=no_candidates | tmdb=
- [skipped] row_filter | title=spinned | key=c935b31f-b645-4631-9180-b713314f90d3 | reason=already_added | tmdb=
- [skipped] row_filter | title=stitch head | key=7108e14d-ef12-4748-a295-91da2836456b | reason=already_added | tmdb=
- [skipped] row_filter | title=street fighter | key=7c005650-33ab-4c30-91e0-4f0f1c84d3be | reason=already_added | tmdb=
- [skipped] row_filter | title=supergirl | key=a0a6a168-c7e8-460a-9a69-44ee4be66760 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=Superman - 1978 | key=917ac118-a1bb-4b22-9d25-cd9cd3ea0497 | reason=already_added | tmdb=
- [skipped] row_filter | title=superman 2 the richard donner cut | key=da6cb427-a8a4-43cf-b891-4cf03187c8b2 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=superman 2 the richard donner cut 1980 | key=cb9a462f-3d36-4561-bc20-a022c4ad842c | reason=no_candidates | tmdb=
- [skipped] row_filter | title=surprise screening | key=966a87c3-56ab-4da4-a806-b9f77b8884a7 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=tafiti across the desert | key=615b1e3c-03ca-4921-94e9-db4acb0881de | reason=already_added | tmdb=
- [skipped] row_filter | title=taxi driver | key=288f5e61-0855-4681-9669-81aba71af3f0 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=tell me everything | key=9879c85f-f2a0-4d01-9d2d-b8c401bc6b5d | reason=already_added | tmdb=
- [skipped] row_filter | title=the angry birds movie 3 | key=f11c5463-994a-4bdb-a940-a6d67aa5d7f8 | reason=already_added | tmdb=
- [merged] dedupe | title=the cat in the hat | key=489f53ff-b3c6-43a3-858d-2be604ff2366 | reason=deduped_into_tmdb | tmdb=1117898
- [mapped] enrich | title=The Cat in the Hat | key=489f53ff-b3c6-43a3-858d-2be604ff2366 | reason=enriched | tmdb=1117898
- [mapped] tmdb_choice | title=the cat in the hat | key=489f53ff-b3c6-43a3-858d-2be604ff2366 | reason=title_first_match | tmdb=1117898 x2
- [skipped] row_filter | title=the christophers | key=6b299dbb-c706-4da1-91b2-64e58fe3eb95 | reason=already_added | tmdb=
- [skipped] row_filter | title=the dog stars | key=96c8a34f-e44d-4067-a79d-0f5ef2d418a2 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=the fast and the furious 25th anniversary | key=c347c207-f526-4a3f-bfca-b866039b286a | reason=no_candidates | tmdb=
- [skipped] row_filter | title=the fifth element | key=3bda2bd3-8ead-4c6f-8df3-c47493b7922c | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the get out | key=339195da-39ab-4f18-a157-ef5a6dbb865c | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the get out aka bear country | key=fbe90974-512c-4528-ae29-aafb3832a70a | reason=past_release_date | tmdb=
- [skipped] row_filter | title=the hunger games sunrise on the reaping | key=298f9b59-21df-4a3a-9891-e26e96c7b3aa | reason=already_added | tmdb=
- [skipped] row_filter | title=the invite | key=3c2ee9da-6037-490c-8520-12e6baea79a3 | reason=already_added | tmdb=
