- - -
DATAFLOW SUMMARY
- - -
Name: ComingSoonsTmdb
Run ID: 614
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-08-27T01:40:05.088984+00:00
Finished (UTC): 2026-08-27T01:40:46.973991+00:00
Duration Seconds: 41.885
Generated At (UTC): 2026-08-27T01:40:46.974218+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 23
- merged: 7
- skipped: 138

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 7
- enrich|mapped|enriched: 7
- row_filter|skipped|already_added: 130
- row_filter|skipped|past_release_date: 8
- tmdb_choice|mapped|fallback_first_candidate: 2
- tmdb_choice|mapped|title_first_match: 12
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 1
- [skipped] row_filter | title=resident evil | key=bd133e2b-5a4f-406d-aeac-b486e9d59f34 | reason=already_added | tmdb=
- [skipped] row_filter | title=runner | key=f4828fc2-073f-430b-bc58-49f2d394c72c | reason=already_added | tmdb=
- [dropped] tmdb_search | title=seestarz | key=d107cc99-8f41-4963-8bfa-15cec660dfac | reason=no_candidates | tmdb=
- [skipped] row_filter | title=shadows edge | key=ac22c0a8-c157-484e-99a2-06fe012cef9e | reason=already_added | tmdb=
- [skipped] row_filter | title=shrek 5 | key=ee7e6c62-8286-47a8-88c8-a33503b04e80 | reason=already_added | tmdb=
- [skipped] row_filter | title=sonic the hedgehog 4 | key=cf283cab-4b57-4d1e-ac30-01d5dec94b2b | reason=already_added | tmdb=
- [skipped] row_filter | title=spa weekend | key=aeffcd33-19eb-450a-ba12-7311a8b449b1 | reason=already_added | tmdb=
- [skipped] row_filter | title=spider island | key=916fcd23-2527-40cb-a416-4dc7c83bd9c5 | reason=already_added | tmdb=
- [skipped] row_filter | title=spider man brand new day | key=9942543e-69c9-4d5d-8f73-c98ded62b380 | reason=already_added | tmdb=
- [skipped] row_filter | title=spider man brand new day vos seances en francais du film | key=89a9d819-21a1-464b-af04-7933ac3167a3 | reason=past_release_date | tmdb=
- [skipped] row_filter | title=spinned | key=c935b31f-b645-4631-9180-b713314f90d3 | reason=already_added | tmdb=
- [skipped] row_filter | title=stitch head | key=7108e14d-ef12-4748-a295-91da2836456b | reason=already_added | tmdb=
- [skipped] row_filter | title=street fighter | key=7c005650-33ab-4c30-91e0-4f0f1c84d3be | reason=already_added | tmdb=
- [skipped] row_filter | title=sunny dancer | key=59c9f775-29db-496c-b374-a54365036ca1 | reason=already_added | tmdb=
- [skipped] row_filter | title=Superman - 1978 | key=917ac118-a1bb-4b22-9d25-cd9cd3ea0497 | reason=already_added | tmdb=
- [skipped] row_filter | title=superman 2 the richard donner cut | key=da6cb427-a8a4-43cf-b891-4cf03187c8b2 | reason=already_added | tmdb=
- [skipped] row_filter | title=superman 2 the richard donner cut 1980 | key=cb9a462f-3d36-4561-bc20-a022c4ad842c | reason=past_release_date | tmdb=
- [skipped] row_filter | title=sweetheart | key=b4bce0f3-6a27-4c0c-ac27-0747db12d97f | reason=already_added | tmdb=
- [merged] dedupe | title=tad and the magic lamp | key=3739483d-8dd1-4cfd-9709-c50800e65af4 | reason=deduped_into_tmdb | tmdb=1187326
- [mapped] enrich | title=Tad and The Magic Lamp | key=3739483d-8dd1-4cfd-9709-c50800e65af4 | reason=enriched | tmdb=1187326
- [mapped] tmdb_choice | title=tad and the magic lamp | key=3739483d-8dd1-4cfd-9709-c50800e65af4 | reason=title_first_match | tmdb=1187326 x2
- [skipped] row_filter | title=taxi driver | key=288f5e61-0855-4681-9669-81aba71af3f0 | reason=already_added | tmdb= x2
- [skipped] row_filter | title=tell me everything | key=9879c85f-f2a0-4d01-9d2d-b8c401bc6b5d | reason=already_added | tmdb=
- [skipped] row_filter | title=the angry birds movie 3 | key=f11c5463-994a-4bdb-a940-a6d67aa5d7f8 | reason=already_added | tmdb=
- [merged] dedupe | title=the bluey movie | key=ae4ad0ae-2ee9-4c7f-b7e7-e24f0c43e0ae | reason=deduped_into_tmdb | tmdb=1403836
- [mapped] enrich | title=The Bluey Movie | key=ae4ad0ae-2ee9-4c7f-b7e7-e24f0c43e0ae | reason=enriched | tmdb=1403836
- [mapped] tmdb_choice | title=the bluey movie | key=ae4ad0ae-2ee9-4c7f-b7e7-e24f0c43e0ae | reason=title_first_match | tmdb=1403836 x2
- [merged] dedupe | title=the cat in the hat | key=cc7a9013-b882-4fb5-940a-5b2b35a0eba5 | reason=deduped_into_tmdb | tmdb=1117898
- [mapped] enrich | title=The Cat in the Hat | key=cc7a9013-b882-4fb5-940a-5b2b35a0eba5 | reason=enriched | tmdb=1117898
- [mapped] tmdb_choice | title=the cat in the hat | key=cc7a9013-b882-4fb5-940a-5b2b35a0eba5 | reason=title_first_match | tmdb=1117898 x2
- [skipped] row_filter | title=the christophers | key=6b299dbb-c706-4da1-91b2-64e58fe3eb95 | reason=already_added | tmdb=
- [skipped] row_filter | title=the croods | key=93f5f63e-31d8-4cd4-9f95-e27c12d87043 | reason=already_added | tmdb=
- [skipped] row_filter | title=the desert child | key=bd05775c-fc38-48c9-9782-48877c730166 | reason=already_added | tmdb=
- [skipped] row_filter | title=the dog stars | key=96c8a34f-e44d-4067-a79d-0f5ef2d418a2 | reason=already_added | tmdb=
- [dropped] tmdb_search | title=the fast and the furious 25th anniversary | key=f47936f9-0e6d-4105-9e7d-dc22551d636f | reason=no_candidates | tmdb=
- [skipped] row_filter | title=the hunger games sunrise on the reaping | key=298f9b59-21df-4a3a-9891-e26e96c7b3aa | reason=already_added | tmdb=
- [skipped] row_filter | title=the invite | key=3c2ee9da-6037-490c-8520-12e6baea79a3 | reason=already_added | tmdb=
- [skipped] row_filter | title=the luckiest man in america | key=2241d600-deaf-4134-918d-726016276303 | reason=already_added | tmdb=
- [skipped] row_filter | title=the magic faraway tree | key=5d660a95-3dbd-4360-a3dc-40a7aebe8745 | reason=already_added | tmdb=
- [skipped] row_filter | title=the magical faraway tree | key=566f9ecd-928c-45b6-8fc9-a86898f3332a | reason=past_release_date | tmdb=
