- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 452
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-05-26T01:25:16.622502+00:00
Finished (UTC): 2026-05-26T01:32:38.526283+00:00
Duration Seconds: 441.9038
Generated At (UTC): 2026-05-26T01:32:38.526496+00:00

SUMMARY COUNTS
- dropped: 9
- mapped: 100
- merged: 81

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 81
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 10
- tmdb_choice|mapped|runtime_match: 7
- tmdb_choice|mapped|title_first_match: 59
- tmdb_choice|mapped|tmdb_fix_id_match: 2
- tmdb_choice|mapped|tmdb_fix_override: 4
- tmdb_search|dropped|no_candidates: 9
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=passenger | status=mapped | reason=title_first_match | rep_title=passenger | rows=210 | parsed_year=2026 | candidates=20 | chosen_tmdb=1368314 | path=title_first_match
- key=tel aviv beirut | status=mapped | reason=fallback_first_candidate | rep_title=tel aviv beirut | rows=107 | parsed_year=2026 | candidates=1 | chosen_tmdb=1030210 | path=fallback_first_candidate
- key=zootopia 2 | status=mapped | reason=title_first_match | rep_title=zootopia 2 | rows=12 | parsed_year=2025 | candidates=1 | chosen_tmdb=1084242 | path=title_first_match
- key=jungle beat 2 the past | status=mapped | reason=title_first_match | rep_title=jungle beat 2 the past | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1453180 | path=title_first_match
- key=nirvanna the band the show the movie | status=mapped | reason=director_match | rep_title=nirvanna the band the show the movie | rows=16 | parsed_year=2025 | candidates=1 | chosen_tmdb=1154538 | path=director_match
- key=drama | status=mapped | reason=title_first_match | rep_title=the drama | rows=22 | parsed_year=2026 | candidates=20 | chosen_tmdb=1325734 | path=title_first_match
- key=fleak | status=mapped | reason=title_first_match | rep_title=fleak | rows=6 | parsed_year=2025 | candidates=1 | chosen_tmdb=680770 | path=title_first_match
- key=ilanot | status=mapped | reason=runtime_match | rep_title=ilanot | rows=8 | parsed_year=2026 | candidates=1 | chosen_tmdb=1663161 | path=runtime_match
- key=subservience | status=mapped | reason=title_first_match | rep_title=subservience | rows=8 | parsed_year=2024 | candidates=2 | chosen_tmdb=1064028 | path=title_first_match
- key=madly | status=mapped | reason=title_first_match | rep_title=madly | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=1500272 | path=title_first_match
- key=lillian | status=mapped | reason=title_first_match | rep_title=lillian | rows=4 | parsed_year=2019 | candidates=20 | chosen_tmdb=597095 | path=title_first_match
- key=rapito | status=mapped | reason=runtime_match | rep_title=rapito | rows=10 | parsed_year=2023 | candidates=14 | chosen_tmdb=801112 | path=runtime_match
- key=five seconds | status=mapped | reason=title_first_match | rep_title=five seconds | rows=59 | parsed_year=2025 | candidates=20 | chosen_tmdb=1368519 | path=title_first_match
- key=soundman | status=mapped | reason=title_first_match | rep_title=the soundman | rows=3 | parsed_year=2025 | candidates=2 | chosen_tmdb=1529023 | path=title_first_match
- key=la grazia | status=mapped | reason=title_first_match | rep_title=la grazia | rows=5 | parsed_year=2025 | candidates=12 | chosen_tmdb=1397364 | path=title_first_match
- key=brief affair | status=mapped | reason=title_first_match | rep_title=a brief affair | rows=2 | parsed_year=2025 | candidates=2 | chosen_tmdb=1299382 | path=title_first_match
- key=nice indian boy | status=mapped | reason=title_first_match | rep_title=a nice indian boy | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1128614 | path=title_first_match
- key=sitaare zameen par | status=mapped | reason=title_first_match | rep_title=sitaare zameen par | rows=1 | parsed_year=2025 | candidates=1 | chosen_tmdb=1190511 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=2 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=15 | parsed_year=1987 | candidates=0 | chosen_tmdb= | path=
- key=star wars the mandalorian and grogu | status=mapped | reason=fallback_first_candidate | rep_title=star wars the mandalorian and grogu | rows=31 | parsed_year=2026 | candidates=1 | chosen_tmdb=1228710 | path=fallback_first_candidate
- key=super mario galaxy movie | status=mapped | reason=fallback_first_candidate | rep_title=super mario galaxy movie | rows=11 | parsed_year=2026 | candidates=1 | chosen_tmdb=1226863 | path=fallback_first_candidate
- key=classic | status=mapped | reason=fallback_first_candidate | rep_title=classic | rows=3 | parsed_year=2023 | candidates=24 | chosen_tmdb=1128959 | path=fallback_first_candidate
- key=mandalorian grogu | status=mapped | reason=runtime_match | rep_title=the mandalorian grogu | rows=108 | parsed_year= | candidates=1 | chosen_tmdb=1228710 | path=runtime_match
- key=housemaid | status=mapped | reason=tmdb_fix_override | rep_title=the housemaid | rows=2 | parsed_year= | candidates=0 | chosen_tmdb=1368166 | path=tmdb_fix_override
- key=le diable shabille en prada 2 | status=mapped | reason=tmdb_fix_id_match | rep_title=le diable shabille en prada 2 | rows=5 | parsed_year= | candidates=1 | chosen_tmdb=1314481 | path=tmdb_fix_id_match
- key=shelter | status=mapped | reason=title_first_match | rep_title=shelter | rows=3 | parsed_year= | candidates=20 | chosen_tmdb=1290821 | path=title_first_match
- key=investment generation | status=dropped | reason=no_candidates | rep_title=investment generation | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=super mario galaxy le film | status=mapped | reason=runtime_match | rep_title=super mario galaxy le film | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1226863 | path=runtime_match
- key=backrooms | status=merged | reason=deduped_into_tmdb | rep_title= | rows=406 | parsed_year= | candidates=0 | chosen_tmdb=1083381 | path=deduped_into_tmdb
- key=my friend eva | status=merged | reason=deduped_into_tmdb | rep_title= | rows=105 | parsed_year= | candidates=0 | chosen_tmdb=1297953 | path=deduped_into_tmdb
- key=colours of time | status=merged | reason=deduped_into_tmdb | rep_title= | rows=321 | parsed_year= | candidates=0 | chosen_tmdb=1235304 | path=deduped_into_tmdb
- key=sheep detectives | status=merged | reason=deduped_into_tmdb | rep_title= | rows=303 | parsed_year= | candidates=0 | chosen_tmdb=1301421 | path=deduped_into_tmdb
- key=fantasy life | status=merged | reason=deduped_into_tmdb | rep_title= | rows=196 | parsed_year= | candidates=0 | chosen_tmdb=1421977 | path=deduped_into_tmdb
- key=michael | status=merged | reason=deduped_into_tmdb | rep_title= | rows=876 | parsed_year= | candidates=0 | chosen_tmdb=936075 | path=deduped_into_tmdb
- key=not without hope | status=merged | reason=deduped_into_tmdb | rep_title= | rows=221 | parsed_year= | candidates=0 | chosen_tmdb=339849 | path=deduped_into_tmdb
- key=mandalorian and grogu | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1003 | parsed_year= | candidates=0 | chosen_tmdb=1228710 | path=deduped_into_tmdb
- key=pulp fiction | status=merged | reason=deduped_into_tmdb | rep_title= | rows=28 | parsed_year= | candidates=0 | chosen_tmdb=680 | path=deduped_into_tmdb
- key=mortal kombat ii | status=merged | reason=deduped_into_tmdb | rep_title= | rows=272 | parsed_year= | candidates=0 | chosen_tmdb=931285 | path=deduped_into_tmdb
- key=spongebob movie search for squarepants | status=merged | reason=deduped_into_tmdb | rep_title= | rows=29 | parsed_year= | candidates=0 | chosen_tmdb=991494 | path=deduped_into_tmdb
- key=normal | status=merged | reason=deduped_into_tmdb | rep_title= | rows=39 | parsed_year= | candidates=0 | chosen_tmdb=1285728 | path=deduped_into_tmdb
- key=obsession | status=merged | reason=deduped_into_tmdb | rep_title= | rows=314 | parsed_year= | candidates=0 | chosen_tmdb=1339713 | path=deduped_into_tmdb
- key=devil wears prada 2 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=922 | parsed_year= | candidates=0 | chosen_tmdb=1314481 | path=deduped_into_tmdb
- key=last whale singer | status=merged | reason=deduped_into_tmdb | rep_title= | rows=93 | parsed_year= | candidates=0 | chosen_tmdb=677558 | path=deduped_into_tmdb
- key=in the grey | status=merged | reason=deduped_into_tmdb | rep_title= | rows=485 | parsed_year= | candidates=0 | chosen_tmdb=1122573 | path=deduped_into_tmdb
- key=nino | status=merged | reason=deduped_into_tmdb | rep_title= | rows=51 | parsed_year= | candidates=0 | chosen_tmdb=1313229 | path=deduped_into_tmdb
- key=reminders of him | status=merged | reason=deduped_into_tmdb | rep_title= | rows=97 | parsed_year= | candidates=0 | chosen_tmdb=1367642 | path=deduped_into_tmdb
- key=super mario galaxy | status=merged | reason=deduped_into_tmdb | rep_title= | rows=514 | parsed_year= | candidates=0 | chosen_tmdb=1226863 | path=deduped_into_tmdb
- key=two women | status=merged | reason=deduped_into_tmdb | rep_title= | rows=17 | parsed_year= | candidates=0 | chosen_tmdb=1073588 | path=deduped_into_tmdb
- key=hoppers | status=merged | reason=deduped_into_tmdb | rep_title= | rows=91 | parsed_year= | candidates=0 | chosen_tmdb=1327819 | path=deduped_into_tmdb
- key=four love letters | status=merged | reason=deduped_into_tmdb | rep_title= | rows=69 | parsed_year= | candidates=0 | chosen_tmdb=1293244 | path=deduped_into_tmdb
- key=project hail mary | status=merged | reason=deduped_into_tmdb | rep_title= | rows=186 | parsed_year= | candidates=0 | chosen_tmdb=687163 | path=deduped_into_tmdb
- key=passanger | status=merged | reason=deduped_into_tmdb | rep_title= | rows=146 | parsed_year= | candidates=0 | chosen_tmdb=1637792 | path=deduped_into_tmdb
- key=fifth element | status=merged | reason=deduped_into_tmdb | rep_title= | rows=9 | parsed_year= | candidates=0 | chosen_tmdb=18 | path=deduped_into_tmdb
