- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 505
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-06-27T01:43:40.080147+00:00
Finished (UTC): 2026-06-27T01:49:35.378606+00:00
Duration Seconds: 355.2985
Generated At (UTC): 2026-06-27T01:49:35.378820+00:00

SUMMARY COUNTS
- dropped: 11
- mapped: 89
- merged: 67

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 67
- tmdb_choice|mapped|director_match: 5
- tmdb_choice|mapped|fallback_first_candidate: 9
- tmdb_choice|mapped|runtime_match: 6
- tmdb_choice|mapped|title_first_match: 52
- tmdb_choice|mapped|tmdb_fix_id_match: 3
- tmdb_choice|mapped|tmdb_fix_override: 1
- tmdb_search|dropped|no_candidates: 11
- write|mapped|marked_added: 6
- write|mapped|upserted: 7

COMING SOONS DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=pretty woman | status=mapped | reason=title_first_match | rep_title=pretty woman | rows=1 | parsed_year=1990 | candidates=12 | chosen_tmdb=114 | path=title_first_match
- key=pulp fiction | status=mapped | reason=title_first_match | rep_title=pulp fiction | rows=1 | parsed_year=1994 | candidates=7 | chosen_tmdb=680 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=1 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=wonder | status=mapped | reason=title_first_match | rep_title=wonder | rows=1 | parsed_year=2017 | candidates=24 | chosen_tmdb=406997 | path=title_first_match
- key=tmdb_fix:1339713 | status=mapped | reason=tmdb_fix_override | rep_title=obsession | rows=20 | parsed_year=2025 | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=des minions et des monstres | status=merged | reason=deduped_into_tmdb | rep_title= | rows=20 | parsed_year= | candidates=0 | chosen_tmdb=1315772 | path=deduped_into_tmdb
- key=toy story 5 | status=merged | reason=deduped_into_tmdb | rep_title= | rows=1212 | parsed_year= | candidates=0 | chosen_tmdb=1084244 | path=deduped_into_tmdb
- key=supergirl | status=merged | reason=deduped_into_tmdb | rep_title= | rows=989 | parsed_year= | candidates=0 | chosen_tmdb=1081003 | path=deduped_into_tmdb
- key=tuner | status=merged | reason=deduped_into_tmdb | rep_title= | rows=476 | parsed_year= | candidates=0 | chosen_tmdb=1340206 | path=deduped_into_tmdb
- key=i swear | status=merged | reason=deduped_into_tmdb | rep_title= | rows=281 | parsed_year= | candidates=0 | chosen_tmdb=1317149 | path=deduped_into_tmdb
- key=spiderman brand new day | status=merged | reason=deduped_into_tmdb | rep_title= | rows=271 | parsed_year= | candidates=0 | chosen_tmdb=969681 | path=deduped_into_tmdb
- key=in the grey | status=merged | reason=deduped_into_tmdb | rep_title= | rows=7 | parsed_year= | candidates=0 | chosen_tmdb=1122573 | path=deduped_into_tmdb
