- - -
DATAFLOW SUMMARY
- - -
Name: NowPlayingsTmdb
Run ID: 625
Attempt: 1
Result: SUCCESS
Started (UTC): 2026-09-16T15:48:24.954376+00:00
Finished (UTC): 2026-09-16T15:56:53.460693+00:00
Duration Seconds: 508.5063
Generated At (UTC): 2026-09-16T15:56:53.460858+00:00

SUMMARY COUNTS
- dropped: 20
- mapped: 158
- merged: 137

STAGE BREAKDOWN
- dedupe|merged|deduped_into_tmdb: 137
- group_filter|dropped|skip_token: 5
- tmdb_choice|mapped|alias_remap: 1
- tmdb_choice|mapped|fallback_first_candidate: 26
- tmdb_choice|mapped|runtime_match: 8
- tmdb_choice|mapped|title_first_match: 93
- tmdb_choice|mapped|tmdb_fix_id_match: 9
- tmdb_choice|mapped|tmdb_fix_override: 13
- tmdb_search|dropped|no_candidates: 15
- write|mapped|marked_added: 3
- write|mapped|upserted: 5

COMING SOONS DETAILS
- (none)

CINEMATHEQUE GROUP DETAILS
- (none)

NOW PLAYING GROUP DETAILS
- key=end of oak street | status=mapped | reason=fallback_first_candidate | rep_title=end of oak street | rows=6 | parsed_year=2026 | candidates=1 | chosen_tmdb=1101383 | path=fallback_first_candidate
- key=tmdb_fix:1683714 | status=mapped | reason=tmdb_fix_override | rep_title=American Hina | rows=3 | parsed_year=2026 | candidates=0 | chosen_tmdb=1683714 | path=tmdb_fix_override
- key=brief affair | status=mapped | reason=title_first_match | rep_title=a brief affair | rows=63 | parsed_year=2025 | candidates=2 | chosen_tmdb=1299382 | path=title_first_match
- key=aulcie | status=mapped | reason=runtime_match | rep_title=aulcie | rows=1 | parsed_year=2026 | candidates=1 | chosen_tmdb=657582 | path=runtime_match
- key=dream high | status=mapped | reason=title_first_match | rep_title=dream high | rows=12 | parsed_year=2026 | candidates=7 | chosen_tmdb=1569872 | path=title_first_match
- key=tmdb_fix:1214130 | status=mapped | reason=tmdb_fix_override | rep_title=STICH HEAD | rows=7 | parsed_year=2023 | candidates=0 | chosen_tmdb=1214130 | path=tmdb_fix_override
- key=la traviata | status=mapped | reason=title_first_match | rep_title=la traviata | rows=6 | parsed_year= | candidates=20 | chosen_tmdb=381916 | path=title_first_match
- key=avengers endgame encore infinity vision | status=dropped | reason=no_candidates | rep_title=avengers endgame encore infinity vision | rows=3 | parsed_year=2019 | candidates=0 | chosen_tmdb= | path=
- key=young washington | status=mapped | reason=title_first_match | rep_title=young washington | rows=1 | parsed_year=2026 | candidates=2 | chosen_tmdb=1308767 | path=title_first_match
- key=im nio | status=dropped | reason=no_candidates | rep_title=im nio | rows=1 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=missing part | status=mapped | reason=title_first_match | rep_title=a missing part | rows=1 | parsed_year=2024 | candidates=4 | chosen_tmdb=1021643 | path=title_first_match
- key=idiots | status=mapped | reason=title_first_match | rep_title=idiots | rows=6 | parsed_year=2026 | candidates=20 | chosen_tmdb=445466 | path=title_first_match
- key=tmdb_fix:313369 | status=mapped | reason=tmdb_fix_override | rep_title=La La Land 10th Anniversary | rows=2 | parsed_year=2016 | candidates=0 | chosen_tmdb=313369 | path=tmdb_fix_override
- key=five baloons | status=dropped | reason=no_candidates | rep_title=five baloons | rows=2 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=sentimental value | status=mapped | reason=title_first_match | rep_title=sentimental value | rows=2 | parsed_year=2025 | candidates=4 | chosen_tmdb=1124566 | path=title_first_match
- key=muhamad naama | status=dropped | reason=no_candidates | rep_title=muhamad naama | rows=2 | parsed_year=2024 | candidates=0 | chosen_tmdb= | path=
- key=follemente | status=mapped | reason=runtime_match | rep_title=follemente | rows=1 | parsed_year=2025 | candidates=3 | chosen_tmdb=1312157 | path=runtime_match
- key=hot cinema | status=dropped | reason=no_candidates | rep_title=hot cinema | rows=4 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=pulp fiction | status=mapped | reason=title_first_match | rep_title=pulp fiction | rows=1 | parsed_year=1994 | candidates=7 | chosen_tmdb=680 | path=title_first_match
- key=for the love of a woman | status=mapped | reason=runtime_match | rep_title=for the love of a woman | rows=2 | parsed_year=2025 | candidates=1 | chosen_tmdb=1143204 | path=runtime_match
- key=tmdb_fix:1566665 | status=mapped | reason=tmdb_fix_override | rep_title=12 hours in october | rows=1 | parsed_year=2025 | candidates=0 | chosen_tmdb=1566665 | path=tmdb_fix_override
- key=my one and only | status=mapped | reason=fallback_first_candidate | rep_title=my one and only | rows=1 | parsed_year=2026 | candidates=9 | chosen_tmdb=1509959 | path=fallback_first_candidate
- key=rocky horror picture show | status=mapped | reason=title_first_match | rep_title=the rocky horror picture show | rows=1 | parsed_year=1975 | candidates=4 | chosen_tmdb=36685 | path=title_first_match
- key=seestarz | status=dropped | reason=no_candidates | rep_title=seestarz | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=tmdb_fix:1140521 | status=mapped | reason=tmdb_fix_override | rep_title=THE MAGICAL FARAWAY TREE | rows=1 | parsed_year=2026 | candidates=0 | chosen_tmdb=1140521 | path=tmdb_fix_override
- key=omaha | status=mapped | reason=title_first_match | rep_title=omaha | rows=40 | parsed_year=2025 | candidates=20 | chosen_tmdb=1233655 | path=title_first_match
- key=tad and the magic lamp | status=mapped | reason=title_first_match | rep_title=tad and the magic lamp | rows=83 | parsed_year=2026 | candidates=1 | chosen_tmdb=1187326 | path=title_first_match
- key=i swear | status=mapped | reason=title_first_match | rep_title=i swear | rows=5 | parsed_year=2025 | candidates=20 | chosen_tmdb=1317149 | path=title_first_match
- key=colours of time | status=mapped | reason=title_first_match | rep_title=colours of time | rows=5 | parsed_year=2025 | candidates=2 | chosen_tmdb=1235304 | path=title_first_match
- key=just an illusion | status=mapped | reason=title_first_match | rep_title=just an illusion | rows=7 | parsed_year=2026 | candidates=3 | chosen_tmdb=1404684 | path=title_first_match
- key=what marielle knows | status=mapped | reason=tmdb_fix_id_match | rep_title=what marielle knows | rows=28 | parsed_year=2026 | candidates=1 | chosen_tmdb=1416893 | path=tmdb_fix_id_match
- key=let it rain | status=mapped | reason=title_first_match | rep_title=let it rain | rows=3 | parsed_year=2025 | candidates=5 | chosen_tmdb=1324241 | path=title_first_match
- key=bitter christmas | status=mapped | reason=title_first_match | rep_title=bitter christmas | rows=9 | parsed_year=2026 | candidates=1 | chosen_tmdb=1088548 | path=title_first_match
- key=primavera | status=mapped | reason=title_first_match | rep_title=primavera | rows=1 | parsed_year=2025 | candidates=20 | chosen_tmdb=1365683 | path=title_first_match
- key=sheep in the box | status=mapped | reason=title_first_match | rep_title=sheep in the box | rows=12 | parsed_year=2026 | candidates=1 | chosen_tmdb=1553969 | path=title_first_match
- key=sweetheart | status=mapped | reason=title_first_match | rep_title=sweetheart | rows=3 | parsed_year=2025 | candidates=20 | chosen_tmdb=1510325 | path=title_first_match
- key=100 | status=mapped | reason=fallback_first_candidate | rep_title=100 | rows=12 | parsed_year=2026 | candidates=20 | chosen_tmdb=1511403 | path=fallback_first_candidate
- key=3 | status=dropped | reason=skip_token | rep_title= | rows=33 | parsed_year=2026 | candidates=0 | chosen_tmdb= | path=
- key=fall 2 deadpoint | status=mapped | reason=title_first_match | rep_title=fall 2 deadpoint | rows=43 | parsed_year=2026 | candidates=1 | chosen_tmdb=1101412 | path=title_first_match
- key=avengers end game encore | status=dropped | reason=no_candidates | rep_title=avengers end game encore | rows=33 | parsed_year=2019 | candidates=0 | chosen_tmdb= | path=
- key=marsupilami | status=mapped | reason=fallback_first_candidate | rep_title=marsupilami | rows=11 | parsed_year=2025 | candidates=12 | chosen_tmdb=1145899 | path=fallback_first_candidate
- key=tmdb_fix:1339713 | status=mapped | reason=tmdb_fix_override | rep_title=Obsession | rows=4 | parsed_year=2026 | candidates=0 | chosen_tmdb=1339713 | path=tmdb_fix_override
- key=classic | status=mapped | reason=title_first_match | rep_title=classic | rows=1 | parsed_year=2025 | candidates=24 | chosen_tmdb=1595910 | path=title_first_match
- key=movieretro | status=dropped | reason=no_candidates | rep_title=movieretro | rows=15 | parsed_year=1991 | candidates=0 | chosen_tmdb= | path=
- key=grease | status=mapped | reason=title_first_match | rep_title=grease | rows=1 | parsed_year= | candidates=20 | chosen_tmdb=621 | path=title_first_match
- key=colonia 75 | status=mapped | reason=fallback_first_candidate | rep_title=colonia 75 | rows=1 | parsed_year= | candidates=1 | chosen_tmdb=1171153 | path=fallback_first_candidate
- key=band together | status=mapped | reason=fallback_first_candidate | rep_title=band together | rows=1 | parsed_year= | candidates=10 | chosen_tmdb=901362 | path=fallback_first_candidate
- key=shmulikipod | status=dropped | reason=no_candidates | rep_title=shmulikipod | rows=1 | parsed_year= | candidates=0 | chosen_tmdb= | path=
- key=cocktail 2 | status=mapped | reason=title_first_match | rep_title=cocktail 2 | rows=1 | parsed_year= | candidates=2 | chosen_tmdb=1392469 | path=title_first_match
